ID,Tipo,SKU Padre,SKU hijo,Nombre,Publicado 0/1,Descripción corta - producto,Precio rebajado,Precio normal,Categorías,Imágenes,Etiquetas,Inventario,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo por defecto 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Atributo por defecto 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3,Atributo por defecto 3
44,variation,RN6,RN62-6,Anillo Attica in White,1,"Crea un look sobrio, magnético y elegante.

Anillo en Oro Blanco de 18 kilates con delicadas formas circulares que le dan un toque novedoso a cada ocasión.  

¡Personaliza esta pieza!

Detalles del producto:  

Material: Oro Blanco de 18 kilates
Dimensiones: 2mm ancho x 1.7mm grosor
Tallas: 6 - 6 1/2 - 7 - 7 1/2",,930000,,,,2,Talla,6,,1,,Material ,Oro Blanco ,,1,,,,,,
45,variation,RN6,RN62-6-1/2,Anillo Attica in White,1,"Crea un look sobrio, magnético y elegante.

Anillo en Oro Blanco de 18 kilates con delicadas formas circulares que le dan un toque novedoso a cada ocasión.  

¡Personaliza esta pieza!

Detalles del producto:  

Material: Oro Blanco de 18 kilates
Dimensiones: 2mm ancho x 1.7mm grosor
Tallas: 6 - 6 1/2 - 7 - 7 1/2",,930000,,,,2,Talla,6-1/2,,1,,Material ,Oro Blanco ,,1,,,,,,
46,variation,RN6,RN62-7,Anillo Attica in White,1,"Crea un look sobrio, magnético y elegante.

Anillo en Oro Blanco de 18 kilates con delicadas formas circulares que le dan un toque novedoso a cada ocasión.  

¡Personaliza esta pieza!

Detalles del producto:  

Material: Oro Blanco de 18 kilates
Dimensiones: 2mm ancho x 1.7mm grosor
Tallas: 6 - 6 1/2 - 7 - 7 1/2",,965000,,,,2,Talla,7,,1,,Material ,Oro Blanco ,,1,,,,,,
47,variation,RN6,RN62-7-1/2,Anillo Attica in White,1,"Crea un look sobrio, magnético y elegante.

Anillo en Oro Blanco de 18 kilates con delicadas formas circulares que le dan un toque novedoso a cada ocasión.  

¡Personaliza esta pieza!

Detalles del producto:  

Material: Oro Blanco de 18 kilates
Dimensiones: 2mm ancho x 1.7mm grosor
Tallas: 6 - 6 1/2 - 7 - 7 1/2",,965000,,,,2,Talla,7-1/2,,1,,Material ,Oro Blanco ,,1,,,,,,
48,variation,RN6,RN63-6,Anillo Attica in Rose,1,"Crea un look sobrio, magnético y elegante.

Anillo en Oro Rosa de 18 kilates con delicadas formas circulares que le dan un toque novedoso a cualquier ocasión.  

¡Personaliza esta pieza!

Detalles del producto:  

Material: Oro Rosa de 18 kilates
Dimensiones: 2mm ancho x 1.5mm grosor
Tallas: 6 - 6 1/2 - 7 - 7 1/2",,930000,,,,2,Talla,6,,1,,Material ,Oro Rosado ,,1,,,,,,
49,variation,RN6,RN63-6-1/2,Anillo Attica in Rose,1,"Crea un look sobrio, magnético y elegante.

Anillo en Oro Rosa de 18 kilates con delicadas formas circulares que le dan un toque novedoso a cualquier ocasión.  

¡Personaliza esta pieza!

Detalles del producto:  

Material: Oro Rosa de 18 kilates
Dimensiones: 2mm ancho x 1.5mm grosor
Tallas: 6 - 6 1/2 - 7 - 7 1/2",,930000,,,,2,Talla,6-1/2,,1,,Material ,Oro Rosado ,,1,,,,,,
50,variation,RN6,RN63-7,Anillo Attica in Rose,1,"Crea un look sobrio, magnético y elegante.

Anillo en Oro Rosa de 18 kilates con delicadas formas circulares que le dan un toque novedoso a cualquier ocasión.  

¡Personaliza esta pieza!

Detalles del producto:  

Material: Oro Rosa de 18 kilates
Dimensiones: 2mm ancho x 1.5mm grosor
Tallas: 6 - 6 1/2 - 7 - 7 1/2",,965000,,,,2,Talla,7,,1,,Material ,Oro Rosado ,,1,,,,,,
50,variation,RN6,RN63-7-1/2,Anillo Attica in Rose,1,"Crea un look sobrio, magnético y elegante.

Anillo en Oro Rosa de 18 kilates con delicadas formas circulares que le dan un toque novedoso a cualquier ocasión.  

¡Personaliza esta pieza!

Detalles del producto:  

Material: Oro Rosa de 18 kilates
Dimensiones: 2mm ancho x 1.5mm grosor
Tallas: 6 - 6 1/2 - 7 - 7 1/2",,965000,,,,2,Talla,7-1/2,,1,,Material ,Oro Rosado ,,1,,,,,,
51,variable,RN7,,Anillo Caria Cruzado,1,"Una genuina y delicada obra, única como tú. 

Anillo en Oro de 18 kilates con un lujoso engaste cruzado con circones. Elaborado para sorprender y cautivar. 

¡Personaliza esta pieza!

Detalles del producto:  

Pedrería: Circones
Material: Oro de 18 kilates
Dimensiones: 15mm ancho x 2mm grosor
Tallas: 6 1/2 - 7 1/2
",,,Anillos>Golden Hour Treasures,"RN7-1P.jpg,RN71M-1.jpg,RN7-1P1.jpg,RN71M.jpg","Joyería acabada a mano con materiales de primera calidad, Compra de forma segura y protegida, Cada joya es entregada en un empaque de alta categoría, Envíos a todo el país, Personaliza esta pieza",,Talla, 6-1/2 - 7-1/2,,1,,Material ,Oro Amarillo,,1,,,,,,
52,variation,RN7,RN71-6-1/2,Anillo Caria Cruzado,1,"Una genuina y delicada obra, única como tú. 

Anillo en Oro Amarillo de 18 kilates con un lujoso engaste cruzado con circones. Elaborado para sorprender y cautivar. 

¡Personaliza esta pieza!

Detalles del producto:  

Pedrería: Circones
Material: Oro Amarillo de 18 kilates
Dimensiones: 15mm ancho x 2mm grosor
Tallas: 6 1/2 - 7 1/2
",,1050000,,,,2,Talla,6 1/2,,1,,Material,Oro Amarillo,,1,,,,,,
